id,name,original_price,price,fulfillment_type,brand,review_count,rating_average,favourite_count,current_seller,number_of_images,category,quantity_sold,discount
171126920,tang đeo cài áo,10000,10000,dropship,OEM,2,5.0,0,Siêu thị vàng mã Thiên Hương Phước,3,Root,106,0.0
154165256,Bộ Móc May Áo Ngực Loại 2 Móc Cài,7000,7000,dropship,OEM,1,4.0,0,Comliti Shop,6,Cài Áo,5,0.0
154165506,Miếng Nối Rộng Tăng Size Áo Ngực 4 Móc Cài-Móc Nới Nhiều Màu [ Bảng Màu 1 ],8000,8000,dropship,OEM,1,5.0,0,Comliti Shop,7,Cài Áo,17,0.0
122210096,GOTI - Ghim Cài Áo Hình Chiếc Lá Trắng Đính Ngọc Sang Trọng Nữ Tính Kiểu Phụ Kiện Trang Trí Trâm Cài Váy Đầm Dành Cho Nữ Cài Vest Nữ GOTI 01,15000,13500,dropship,GOTI,22,4.8,0,GOTI Official Store,4,Cài Áo,66,10.0
149436768,Vỉ nút bấm áo dài 36 nút hiệu POP,13600,13600,dropship,OEM,8,5.0,0,Shop Máy Cắt,3,Root,63,0.0
104958918,"GOTI - Cài Áo Thiên Nga, Bươm Bướm, Hoa Và Hạt Kiểu Dáng Trâm Cài Phụ Kiện Đẹp Dành Cho Nữ Cài Áo, Váy Đầm GOTI CA02",15000,13500,dropship,GOTI,8,4.5,0,GOTI Official Store,5,Cài Áo,47,10.0
135072308,NAM CHÂM CÀI ÁO HUY HIỆU THẺ TÊN LOẠI 1 VIÊN NAM CHÂM,4500,4500,dropship,OEM,2,5.0,0,Siêu thị nam châm siêu cường,4,Root,51,0.0
147463814,"Sticker, Huy hiệu, Pin cài áo, Balo hình Khủng Long siêu dễ thương, cá tính",2800,2800,dropship,OEM,1,4.0,0,The Alice Store,10,Root,22,0.0
196851321,GHIM CÀI ÁO BALO TÚI VÍ - STICKER TRANG TRÍ HOẠT HÌNH DỄ THƯƠNG,3000,1900,dropship,OEM,4,3.3,0,CoCa Shop,7,Cài Áo,169,36.67
151427888,Cài áo hình con ong nhỏ xinh,15000,15000,dropship,OEM,1,2.0,0,maycatvai,4,Cài Áo,1,0.0
114770892,GOTI - Charm Cài Áo Thiên Nga Kiểu Tag Cài Váy Đẹp Thanh Lịch Dành Cho Nữ Kiểu Dáng Hoa Cao Cấp Đa Dạng CA21,15000,13500,dropship,GOTI,6,5.0,0,GOTI Official Store,6,Cài Áo,28,10.0
